url,links_in_tags,submit_email,sfh,iframe,popup_window,onmouseover,right_clic,abnormal_subdomain,redirection,status
http://www.progarchives.com/album.asp?id=61737,73.91304348,0,0,0,0,0,0,0,0,-1
http://signin.eday.co.uk.ws.edayisapi.dllsign.inusingsslpuseridcopartnerid2siteid.zdfxx949xyss1pnbh0soabfdzgdh2kppnu.reippl.com/,0,0,0,0,0,0,0,0,0,-1
http://www.avevaconstruction.com/blesstool/image.htm,100,0,0,0,0,0,0,0,1,-1
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b5aed586dda5d21/?cmd=_update&dispatch=b5aed586dda5d219f&locale=_US,100,0,0,0,0,0,0,0,0,-1
https://www.authpro.com/auth/ubabankng/?action=reg,0,0,0,0,0,0,0,0,0,-1
http://littlee.com.au/alibaba/login.alibaba.com.php,100,0,0,0,0,0,0,0,1,-1
http://www.grouper.in/wp-includes/js/tinymce/etisalat.ae/,17.39130435,0,0,0,0,0,0,0,1,-1
http://nandabolsas.com.br/forum/control.html,0,0,0,0,0,0,0,0,0,-1
http://betasus7.blogspot.com,0,0,0,0,0,0,0,0,1,-1
https://fieldstonerp-my.sharepoint.com/:b:/p/danfields/EZ7SH1xQSDpMtP4DleQT5tUBXo4sRqDgcRy807wUg7VFFg?e=Mz09kC,7.692307692,0,0,0,0,0,0,0,1,-1
http://bdo-onlineverify.xyz/bdoverification/security/verify/login.php,100,0,0,0,0,0,0,0,0,-1
http://kam-net.ci/2026584619/verification.php,0,0,0,0,0,0,0,0,0,-1
http://whatsappporn.wikaba.com/,100,0,0,0,0,0,0,0,0,-1
https://disq.us/?url=https%3A%2F%2Fwww.gepard.ru%2Flogin%2Faccount%2F&key=JgDq7zS0rAtd6srC39cdig,0,0,0,0,0,0,0,0,0,-1
https://doubler.link/,100,0,0,0,0,0,0,0,1,-1
https://user67509874097802.el.r.appspot.com/app/index,0,0,0,0,0,0,0,0,0,-1
https://client-webhook-dot-qp-keybank-rrva-2020-04.uc.r.appspot.com/,50,0,0,0,0,0,0,0,0,-1
http://chat-whatsapp.ns01.us/,81.81818182,0,0,0,0,0,0,0,1,-1
http://www.josuejr.com.br/glt/cgi/login.php?email=piotr.lacki@rb.com,100,0,0,0,0,0,0,0,0,-1
http://www.amberexpeditions.com/plugins/search/contacts/a.htm,0,0,0,0,0,0,0,0,0,-1
https://surb.madebyhaley.com/htn?tu=Z4NwlG1ocGKclX2mmHKTaIF_YKCDomZjbGKjY31y/amuehlem%40gmx.ch,75,0,0,0,0,0,0,0,0,-1
http://etigroup.az/wp-content/plugins/revslider/languages/o/indexaa.php,100,0,0,0,0,0,0,0,1,-1
http://marketinghelper.com.au/themes/sports/wp-content/net/c74c4bf0dad9cbae3d80faa054b7d8ca/,100,0,0,0,0,0,0,0,0,-1
https://form.elementform.com/0a4b86bcfd8d414b9fbce0329020508d45549925,90.90909091,0,0,0,0,0,0,0,0,-1
https://uwwivwhdqgjrauuhsjnznfzjprsdvgaiyojw-dot-gl494903049.wl.r.appspot.com/,0,0,0,0,0,0,0,0,0,-1
http://www.surfacespa.com/au/,0,0,0,0,0,0,0,0,0,-1
http://www.myappwiz.com/home/redirect?targetUrl=http://5.83.162.160/staff,100,0,0,0,0,0,0,0,0,-1
https://ezoomeranggrow.com/web/english/index.php?email=honeypot@domain.com],0,0,0,0,0,0,0,0,0,-1
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/7a2a8f1e1c7c105/?cmd=_update&dispatch=7a2a8f1e1c7c105b9&locale=_US,100,0,0,0,0,0,0,0,0,-1
https://auduboninstitute-my.sharepoint.com/:o:/g/personal/kramsey_auduboninstitute_org/EveSQu6pzsxOjjLjb-YGjEwBwb6DV_wN9eBMuZghm1jKBw?e=bCYSTA,44.44444444,0,0,0,0,0,0,0,0,-1
http://handle.booktobi.com/css/index.html/,0,0,0,0,0,0,0,0,0,-1
http://www.brighant.com/1122?sec=Jochen%20Kuntermann,0,0,0,0,0,0,0,0,1,-1
https://docs.google.com/forms/d/e/1FAIpQLSfDwn92QVW38Ss-20KziPdDCTGi6S6IH4nAsXeQlGTvdjh4eA/closedform,37.5,0,0,0,0,0,0,0,0,-1
https://forms.office.com/Pages/ResponsePage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAAN__iRYFuZURVNGMFBTVDZFMjFGUFhVWkM3RzZaR1JVNS4u,0,0,0,0,0,0,0,0,0,-1
http://ijikc.co.in/rating/KEN7XX7Y0P9/wemail_al.html,83.33333333,0,0,0,0,0,0,0,1,-1
http://www.strykertoyhaulers.com/wp-admin/js/online/order.php?email%5Cu003dabuse@euroflightinternational.com,75,0,0,0,0,0,0,0,1,-1
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b31466003a51a2b?cmd=_update&dispatch=b31466003a51a2b07&locale=_,100,0,0,0,0,0,0,0,1,-1
https://powerpoint7777.typeform.com/to/tVqZufIj,87.09677419,0,0,0,0,0,0,0,1,-1
http://joshtobye.com/3.mtb.com/www3.mtb.com/emsslv9082.php?YmjBYuHwX9i3fqlQEfWPf514qjqXpr6tN4KRN4j1rFLK3BwXJQJGDsFL9aKbrYAJLPYDh8nuP3gxmumzrfWbqaOBPk7oD0GJPYfPxtOEE18IaF2iH0SGv9nM5DjwqVdCH69VQo6J9x0QDNDyNWJi6XxRfbQQyV4z6ivS1H8Y2tQ7e8u87WpBdKAzjb319BX2prmMyk5f,100,0,0,0,0,0,0,0,0,-1
https://docs.google.com/forms/d/e/1FAIpQLSd8PwJ0urcuN-J-97ONvbNKgTGoDxjmFI-Xl8bcjptdhTZUUA/viewform?usp=send_form,37.5,0,0,0,0,0,0,0,1,-1
https://www.alquileres.com.py/completed/Dropbox/wp-incllude/,100,0,0,0,0,0,0,0,1,-1
http://www.healmedicaltrauma.com/match/,7.692307692,0,0,0,0,0,0,0,0,-1
https://soportedinamic.webcindario.com/,0,0,0,0,0,0,0,0,0,-1
http://grandbettinggir2.blogspot.com,0,0,0,0,0,0,0,0,1,-1
http://hasmob.com/assurance/alibaba.com/Login.htm,33.33333333,0,0,0,0,0,0,0,0,-1
http://fastfoodgozo.rs/a/yahoo/login.php,20,0,0,0,0,0,0,0,0,-1
http://sucursalpersonastransaccionesbancolombiacom.small-business-solutions.biz/,0,0,0,0,0,0,0,0,0,-1
http://www.vantaiduccuong.com/dab/outl/,100,0,0,0,0,0,0,0,0,-1
http://scqijie.com/wp-content/themes/chigue/immowelt.de-sign-in,60,0,0,0,0,0,0,0,2,-1
http://dgfhjgjrt65756hggree.clearpointsupplies.com/fhdfyrurthftf/,100,0,0,0,0,0,0,0,1,-1
https://servicefacture.blogspot.com/2020/04/blog-post_10.html,0,0,0,0,0,0,0,0,0,-1
http://grandmarketltd.co.uk/wp-includes/inozfoZ/noande/paypal/59c0d7ceb90328d92e80f4e1f3646b99/view/login.php,100,0,0,0,0,0,0,0,0,-1
http://teamwlg.com/aa209Page/aa209Page/cmd-login=2fa960a1990a231b18bfe6368da9c911/valid.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj?email=,0,0,0,0,0,0,0,0,0,-1
https://tlcmgmt-my.sharepoint.com/:u:/p/hfa_ashton/EWhkFFHqP-9HpEcF2N6aAHgBmUwPHZaxjTCELjuqRIaejA?e,7.692307692,0,0,0,0,0,0,0,1,-1
https://edu-src.msu.ac.th/clinic/wp-includes/rest-api/fields/--/pontosvalidos/home.php,0,0,0,0,0,0,0,0,0,-1
http://surfeventsco.com/cgi-/,0,0,0,0,0,0,0,0,1,-1
https://hoosevents.com/https:/impotsgouvfr/da674af0e12b648d840048f71cb0dfb0,85.71428571,0,0,0,0,0,0,0,1,-1
