url,length_url,abnormal_subdomain,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,status
http://www.progarchives.com/album.asp?id=61737,46,0,73.91304348,0,100,0,0,0,0,77.77777778,0,0,phishing
http://signin.eday.co.uk.ws.edayisapi.dllsign.inusingsslpuseridcopartnerid2siteid.zdfxx949xyss1pnbh0soabfdzgdh2kppnu.reippl.com/,128,0,0,0,0,0,0,0,0,0,0,0,phishing
http://www.avevaconstruction.com/blesstool/image.htm,52,0,100,0,0,0,0,0,0,0,0,0,phishing
http://www.jp519.com/,21,0,100,0,92.30769231,7.692307692,0,0,0,82.53968254,0,0,legitimate
https://www.velocidrone.com/,28,0,55.55555556,0,50,50,0,0,0,81.08108108,0,0,legitimate
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b5aed586dda5d21/?cmd=_update&dispatch=b5aed586dda5d219f&locale=_US,128,0,100,0,100,0,0,0,0,100,0,0,phishing
https://www.authpro.com/auth/ubabankng/?action=reg,50,0,0,0,0,0,0,0,0,0,0,0,phishing
http://littlee.com.au/alibaba/login.alibaba.com.php,51,0,100,0,0,0,0,0,0,100,0,0,phishing
http://www.tutorialspoint.com/dbms/,35,0,66.66666667,0,100,0,0,0,0,64.28571429,0,0,legitimate
http://www.domarada.sk,22,0,0,0,0,100,0,0,0,6.451612903,0,0,legitimate
http://www.grouper.in/wp-includes/js/tinymce/etisalat.ae/,57,0,17.39130435,0,40,60,0,0,0,46.66666667,0,0,phishing
https://www.prepaid-karte-vergleich.de/,39,0,0,0,100,0,0,0,0,75,0,0,legitimate
http://nandabolsas.com.br/forum/control.html,44,0,0,0,0,0,0,0,0,0,0,0,phishing
http://betasus7.blogspot.com,28,0,0,0,0,0,0,0,0,14.28571429,0,0,phishing
https://www.youtube.com/channel/UCLSjw7g5U48jgtjaeyjfwjQ,56,0,70.58823529,0,0,0,0,0,0,0,0,0,legitimate
https://fieldstonerp-my.sharepoint.com/:b:/p/danfields/EZ7SH1xQSDpMtP4DleQT5tUBXo4sRqDgcRy807wUg7VFFg?e=Mz09kC,110,0,7.692307692,0,0,0,0,0,0,0,0,0,phishing
http://www.webopedia.com/TERM/C/CLI.html,40,0,30.95238095,0,100,0,0,0,0,80,0,0,legitimate
https://www.allmenus.com/nc/charlotte/89187-mimosa-grill/menu/,62,0,95.23809524,0,71.42857143,28.57142857,0,0,0,0,0,0,legitimate
http://www.makeuseof.com/tag/p2p-peer-peer-file-sharing-works/,62,0,18.75,0,0,100,0,0,0,63.33333333,0,0,legitimate
http://bdo-onlineverify.xyz/bdoverification/security/verify/login.php,69,0,100,0,100,0,0,0,0,0,0,0,phishing
http://www.picfront.org/,24,0,68.75,0,100,0,0,0,0,0,0,0,legitimate
http://kam-net.ci/2026584619/verification.php,45,0,0,0,0,0,0,0,0,0,0,0,phishing
https://www.beddenreus.nl/,26,0,83.33333333,0,76.92307692,23.07692308,0,0,0,26.92307692,0,0,legitimate
https://www.simpsonbayresort.com/,33,0,0,0,0,0,0,0,0,60,0,0,legitimate
http://hamathiel-sunsheer.tumblr.com,36,0,50,0,100,0,0,0,0,0,0,0,legitimate
http://ipnpr.jpl.nasa.gov/progress_report/42-64/64G.PDF,55,0,0,0,0,0,0,0,0,0,0,0,legitimate
https://www.powerhome.jp/,25,0,86.66666667,0,93.44262295,6.557377049,0,0,0,25,0,0,legitimate
https://www.insidethefun.com/Login.aspx?redir=/default.aspx,59,0,100,0,100,0,0,0,0,33.33333333,0,0,legitimate
http://whatsappporn.wikaba.com/,31,0,100,0,0,0,0,0,0,4.545454545,0,0,phishing
https://disq.us/?url=https%3A%2F%2Fwww.gepard.ru%2Flogin%2Faccount%2F&key=JgDq7zS0rAtd6srC39cdig,96,0,0,0,0,0,0,0,0,0,0,0,phishing
http://www.accaparlante.it/,27,0,100,0,0,0,0,0,0,7.692307692,0,0,legitimate
https://www.learnnext.com/user/signUpNew.htm,44,0,82.35294118,0,90,10,0,0,0,80.64516129,0,0,legitimate
https://www.megachords.com/gigi/chords/amnesia/,47,0,50,0,0,0,0,0,0,33.33333333,0,0,legitimate
http://netizenbuzz.blogspot.com/,32,0,25,0,0,100,0,0,0,64,0,0,legitimate
http://www.vagueware.com/proprietary-software/,46,0,60,0,0,100,0,0,0,100,0,0,legitimate
http://learnmore.duke.edu/certificates/digital_marketing,56,0,92,0,100,0,0,0,0,61.9047619,0,0,legitimate
https://doubler.link/,21,0,100,0,0,0,0,0,0,100,0,0,phishing
http://www.centcom.mil/ABOUT-US/COMMAND-NARRATIVE/,50,0,91.66666667,0,100,0,0,0,0,100,0,0,legitimate
https://user67509874097802.el.r.appspot.com/app/index,53,0,0,0,20,80,0,0,0,25,0,0,phishing
https://client-webhook-dot-qp-keybank-rrva-2020-04.uc.r.appspot.com/,68,0,50,0,0,0,0,0,0,0,0,0,phishing
https://www.theswiftcodes.com/kenya/ninckena/,45,0,45.45454545,0,60,40,0,0,0,16.66666667,0,0,legitimate
http://chat-whatsapp.ns01.us/,29,0,81.81818182,0,100,0,0,0,0,0,0,0,phishing
http://www.josuejr.com.br/glt/cgi/login.php?email=piotr.lacki@rb.com,68,0,100,0,100,0,0,0,0,100,0,0,phishing
http://www.amberexpeditions.com/plugins/search/contacts/a.htm,61,0,0,0,0,0,0,0,0,0,0,0,phishing
