url,Having_subdomains,domain_age,dns_record,web_traffic,page_rank,google_index,nb_hyperlinks,stat_reports,status
http://www.progarchives.com/album.asp?id=61737,3,6678,0,78526,5,0,143,1,1
http://signin.eday.co.uk.ws.edayisapi.dllsign.inusingsslpuseridcopartnerid2siteid.zdfxx949xyss1pnbh0soabfdzgdh2kppnu.reippl.com/,10,65,1,106909,0,1,0,1,1
http://www.avevaconstruction.com/blesstool/image.htm,3,1707,1,113394,0,1,3,1,1
http://www.jp519.com/,2,1331,1,6760,0,0,404,-1,0
https://www.velocidrone.com/,2,1662,1,312044,4,0,57,-1,0
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b5aed586dda5d21/?cmd=_update&dispatch=b5aed586dda5d219f&locale=_US,4,3993,1,5707171,0,1,51,1,1
https://www.authpro.com/auth/ubabankng/?action=reg,2,7330,1,154708,4,0,0,1,1
http://littlee.com.au/alibaba/login.alibaba.com.php,5,-1,0,116702,0,1,4,1,1
http://www.tutorialspoint.com/dbms/,2,5046,1,379,5,0,115,-1,0
http://www.domarada.sk,2,3505,1,3172,2,0,99,-1,0
http://www.grouper.in/wp-includes/js/tinymce/etisalat.ae/,3,-1,1,145599,0,1,151,1,1
https://www.prepaid-karte-vergleich.de/,2,-1,1,3560,2,0,70,-1,0
http://nandabolsas.com.br/forum/control.html,3,-1,0,128863,0,1,0,1,1
http://betasus7.blogspot.com,2,7295,1,126666,5,1,14,1,1
https://www.youtube.com/channel/UCLSjw7g5U48jgtjaeyjfwjQ,2,5640,1,2,10,1,39,-1,0
https://fieldstonerp-my.sharepoint.com/:b:/p/danfields/EZ7SH1xQSDpMtP4DleQT5tUBXo4sRqDgcRy807wUg7VFFg?e=Mz09kC,1,8019,1,106117,4,1,26,1,1
http://www.webopedia.com/TERM/C/CLI.html,1,8147,1,12601,6,0,164,-1,0
https://www.allmenus.com/nc/charlotte/89187-mimosa-grill/menu/,2,5826,1,34738,5,0,71,-1,0
http://www.makeuseof.com/tag/p2p-peer-peer-file-sharing-works/,2,5132,1,1310,7,0,101,-1,0
http://bdo-onlineverify.xyz/bdoverification/security/verify/login.php,2,5,1,123195,0,1,72,1,1
http://www.picfront.org/,2,5001,1,9814,3,0,49,-1,0
http://kam-net.ci/2026584619/verification.php,2,199,1,131136,0,0,0,1,1
https://www.beddenreus.nl/,2,6140,1,1177815,3,0,308,-1,0
https://www.simpsonbayresort.com/,2,3494,1,3399200,3,0,23,-1,0
http://hamathiel-sunsheer.tumblr.com,2,5161,1,3877,8,0,24,-1,0
http://ipnpr.jpl.nasa.gov/progress_report/42-64/64G.PDF,4,-1,1,1033,7,1,198,-1,0
https://www.powerhome.jp/,2,4011,1,35,2,0,178,-1,0
https://www.insidethefun.com/Login.aspx?redir=/default.aspx,4,3480,1,9612,0,1,16,-1,0
http://whatsappporn.wikaba.com/,2,7202,1,461958,2,1,28,1,1
https://disq.us/?url=https%3A%2F%2Fwww.gepard.ru%2Flogin%2Faccount%2F&key=JgDq7zS0rAtd6srC39cdig,3,4843,1,9602,5,0,0,1,1
http://www.accaparlante.it/,2,7391,1,8675232,3,0,17,-1,0
https://www.learnnext.com/user/signUpNew.htm,1,-1,1,219669,4,1,132,-1,0
https://www.megachords.com/gigi/chords/amnesia/,2,5005,1,9763,3,1,13,-1,0
http://netizenbuzz.blogspot.com/,2,7299,1,33345,5,0,57,-1,0
http://www.vagueware.com/proprietary-software/,2,3029,1,2349295,4,0,14,-1,0
http://learnmore.duke.edu/certificates/digital_marketing,2,12471,1,5469,5,0,267,-1,0
https://doubler.link/,1,-1,0,138215,0,1,4,1,1
http://www.centcom.mil/ABOUT-US/COMMAND-NARRATIVE/,2,-1,1,891330,5,1,80,-1,0
https://user67509874097802.el.r.appspot.com/app/index,4,5614,0,100563,5,1,21,1,1
https://client-webhook-dot-qp-keybank-rrva-2020-04.uc.r.appspot.com/,4,5613,0,7198650,5,1,4,1,1
https://www.theswiftcodes.com/kenya/ninckena/,2,3772,1,35245,4,0,62,-1,0
http://chat-whatsapp.ns01.us/,2,6663,0,1428403,0,1,103,1,1
http://www.josuejr.com.br/glt/cgi/login.php?email=piotr.lacki@rb.com,6,-1,0,4509050,0,1,11,1,1
http://www.amberexpeditions.com/plugins/search/contacts/a.htm,3,2926,0,143049,1,1,0,1,1
https://surb.madebyhaley.com/htn?tu=Z4NwlG1ocGKclX2mmHKTaIF_YKCDomZjbGKjY31y/amuehlem%40gmx.ch,3,134,1,135182,2,1,42,1,1
https://pannative.blogspot.com/,2,7298,1,236183,5,0,768,-1,0
http://etigroup.az/wp-content/plugins/revslider/languages/o/indexaa.php,1,-1,1,10431514,0,1,4,1,1
http://www.bionity.com/en/encyclopedia/Digene.html,1,7371,1,1303460,5,1,261,-1,0
http://marketinghelper.com.au/themes/sports/wp-content/net/c74c4bf0dad9cbae3d80faa054b7d8ca/,1,-1,1,134962,1,1,11,1,1
http://www.mebank.com.au/about-us/resources/everyday-transaction-account-faqs/,1,-1,1,77959,4,1,70,-1,0
https://form.elementform.com/0a4b86bcfd8d414b9fbce0329020508d45549925,2,1963,1,5967691,3,0,23,1,1
https://uwwivwhdqgjrauuhsjnznfzjprsdvgaiyojw-dot-gl494903049.wl.r.appspot.com/,4,5626,1,125371,5,1,0,1,1
https://www.crossstitch.pk/,2,-1,1,201422,2,0,331,-1,0
http://www.surfacespa.com/au/,2,3593,1,8552690,0,1,0,1,1
http://www.myappwiz.com/home/redirect?targetUrl=http://5.83.162.160/staff,5,2403,0,790268,3,0,0,1,1
https://ezoomeranggrow.com/web/english/index.php?email=honeypot@domain.com],3,72,0,113031,0,1,0,1,1
http://www.ijtte.com/uploads/2014-09-07/5d577a86-202d-e1a1IJTTE_Vol%204%283%29_4.pdf,1,3452,1,3893420,2,1,136,-1,0
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/7a2a8f1e1c7c105/?cmd=_update&dispatch=7a2a8f1e1c7c105b9&locale=_US,4,3993,0,5707171,0,1,51,1,1
http://www.partycity.com/category/party+ideas/birthday/boys/mickey+mouse.do,1,8206,1,15425,5,1,249,-1,0
https://kodi.tv/addons/context-menus,2,2247,1,13779,5,0,73,-1,0
https://www.virzoom.com/,2,2031,1,962441,4,0,37,-1,0
https://en.wikipedia.org/wiki/Switched_at_Birth_(season_5),2,7133,1,12,7,0,227,-1,0
https://auduboninstitute-my.sharepoint.com/:o:/g/personal/kramsey_auduboninstitute_org/EveSQu6pzsxOjjLjb-YGjEwBwb6DV_wN9eBMuZghm1jKBw?e=bCYSTA,2,8018,0,123495,4,1,19,1,1
http://singapore.recruit.net/search-interactive-media-designer-jobs,2,8823,1,24609,4,0,266,-1,0
http://handle.booktobi.com/css/index.html/,3,4633,0,8237707,0,1,0,1,1
http://www.brighant.com/1122?sec=Jochen%20Kuntermann,1,2100,0,136090,0,1,0,1,1
https://www.nist.gov/pml/time-and-frequency-division/popular-links/help-radio-controlled-clocks,2,-1,1,7974,6,1,203,-1,0
http://www.edisontechcenter.org/Transmission.html,1,-1,1,608816,5,0,66,-1,0
https://docs.google.com/forms/d/e/1FAIpQLSfDwn92QVW38Ss-20KziPdDCTGi6S6IH4nAsXeQlGTvdjh4eA/closedform,1,8346,0,1,10,1,25,1,1
http://blog.unibulmerchantservices.com/credit-card-transaction-processing-basics/,2,4567,1,372555,3,0,80,-1,0
https://forms.office.com/Pages/ResponsePage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAAN__iRYFuZURVNGMFBTVDZFMjFGUFhVWkM3RzZaR1JVNS4u,3,7765,0,32,5,0,9,1,1
https://www.tabellenexperte.de,2,-1,1,378774,3,0,12,-1,0
http://gockinhnghiem.com/about/,2,3638,1,758502,1,0,65,-1,0
https://en.wikipedia.org/wiki/Network_topology,2,7130,1,12,7,0,663,-1,0
http://teksty-pesenok.ru/tracey-curtis/tekst-pesni-the-john-peel-song/1606493/,2,-2,1,11543,3,1,157,-1,0
http://www.ciclic.fr/,2,3902,1,544866,3,0,235,-1,0
http://ijikc.co.in/rating/KEN7XX7Y0P9/wemail_al.html,3,-1,0,4439212,2,1,15,1,1
https://www.tumblr.com/safe-mode?url=https%3A%2F%2Fmc1235711.tumblr.com%2F,4,5160,1,115,8,1,1,-1,0
http://www.strykertoyhaulers.com/wp-admin/js/online/order.php?email%5Cu003dabuse@euroflightinternational.com,4,531,0,134666,0,1,10,1,1
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b31466003a51a2b?cmd=_update&dispatch=b31466003a51a2b07&locale=_,4,3993,0,5707171,0,1,51,1,1
http://vimall.ru/,2,954,1,334510,2,0,300,-1,0
http://www.diffen.com/difference/MMS_vs_SMS,2,4918,1,19671,5,0,49,-1,0
http://bangla.plus,2,-1,1,1111694,2,0,105,-1,0
http://jcs.biologists.org/content/joces/117/25/6061.full.pdf,4,8299,1,41286,3,1,50,-1,0
https://powerpoint7777.typeform.com/to/tVqZufIj,2,6609,0,931,5,1,116,1,1
http://joshtobye.com/3.mtb.com/www3.mtb.com/emsslv9082.php?YmjBYuHwX9i3fqlQEfWPf514qjqXpr6tN4KRN4j1rFLK3BwXJQJGDsFL9aKbrYAJLPYDh8nuP3gxmumzrfWbqaOBPk7oD0GJPYfPxtOEE18IaF2iH0SGv9nM5DjwqVdCH69VQo6J9x0QDNDyNWJi6XxRfbQQyV4z6ivS1H8Y2tQ7e8u87WpBdKAzjb319BX2prmMyk5f,6,31,1,107200,0,1,9,1,1
http://disney.wikia.com/wiki/The_Mickey_Mouse_Club,2,6070,1,14592,5,0,422,-1,0
https://docs.google.com/forms/d/e/1FAIpQLSd8PwJ0urcuN-J-97ONvbNKgTGoDxjmFI-Xl8bcjptdhTZUUA/viewform?usp=send_form,2,8347,1,1,10,1,25,1,1
https://www.alquileres.com.py/completed/Dropbox/wp-incllude/,3,-1,1,119152,1,1,17,1,1
http://www.healmedicaltrauma.com/match/,2,1850,1,130805,0,1,98,1,1
https://soportedinamic.webcindario.com/,2,7087,1,18105,3,1,0,1,1
https://www.hornguys.com/,2,5832,1,2383950,3,0,124,-1,0
http://grandbettinggir2.blogspot.com,2,7295,1,126068,5,1,14,1,1
http://hasmob.com/assurance/alibaba.com/Login.htm,3,5656,1,148169,0,1,87,1,1
http://xahlee.info/kbd/dvorak_vs_colemak.html,2,5143,1,45546,5,0,87,-1,0
https://developer.mozilla.org/en-US/docs/Web/API/Web_Speech_API,2,8217,1,213,8,0,159,-1,0
http://supremecourt.gov.np/web/,2,-1,1,788916,4,0,89,-1,0
http://desomnis.tumblr.com,2,5158,1,4243,8,0,30,-1,0
http://fastfoodgozo.rs/a/yahoo/login.php,2,-12,1,138175,0,1,23,1,1
http://sucursalpersonastransaccionesbancolombiacom.small-business-solutions.biz/,2,-1,1,112745,0,1,0,1,1
http://www.mamasvib.com/,2,2480,1,5257779,4,0,78,-1,0
http://www.vantaiduccuong.com/dab/outl/,1,385,1,106734,0,1,8,1,1
http://scqijie.com/wp-content/themes/chigue/immowelt.de-sign-in,2,-1,1,6734931,1,0,19,1,1
http://www.japanese-buddhism.com/noble-eightfold-path.html,1,3751,1,7422,4,0,51,-1,0
https://for-sale.yakaz.com/digital-cameras,2,5456,1,124062,3,1,24,1,0
http://dgfhjgjrt65756hggree.clearpointsupplies.com/fhdfyrurthftf/,1,1834,1,131777,0,1,4,1,1
https://servicefacture.blogspot.com/2020/04/blog-post_10.html,3,7295,1,138809,5,1,38,1,1
http://grandmarketltd.co.uk/wp-includes/inozfoZ/noande/paypal/59c0d7ceb90328d92e80f4e1f3646b99/view/login.php,3,658,1,9558747,0,1,0,1,1
http://teamwlg.com/aa209Page/aa209Page/cmd-login=2fa960a1990a231b18bfe6368da9c911/valid.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj?email=,2,505,1,124842,0,1,17,1,1
http://biddle-air.co.uk,2,8704,1,5332182,3,0,70,-1,0
https://tlcmgmt-my.sharepoint.com/:u:/p/hfa_ashton/EWhkFFHqP-9HpEcF2N6aAHgBmUwPHZaxjTCELjuqRIaejA?e,2,8018,1,101874,4,1,26,1,1
https://www.ademforcongress.com/,2,1137,1,1578580,3,1,70,-1,0
https://edu-src.msu.ac.th/clinic/wp-includes/rest-api/fields/--/pontosvalidos/home.php,4,7857,1,46701,4,1,0,1,1
http://www.nationsonline.org/oneworld/map/google_map_Nice.htm,1,7351,1,22839,5,0,189,-1,0
http://www.innovativephp.com/,2,-1,1,1274420,4,0,19,-1,0
http://surfeventsco.com/cgi-/,2,539,1,143976,0,0,0,1,1
http://www.thefreedictionary.com/active+transport,2,6255,1,688,6,0,204,-1,0
https://helpathome.jobs.net/,2,8934,1,18070,5,0,42,-1,0
https://hoosevents.com/https:/impotsgouvfr/da674af0e12b648d840048f71cb0dfb0,2,2192,1,119120,0,1,88,1,1
https://dpfoidspoifopdsifpoi.blogspot.com/,2,7296,1,122538,5,1,9,1,1
https://chungcuvinhomessmartcity.com.vn/wp-content/t-online/t-online.php,3,-1,1,967672,4,0,12,1,1
https://www.scubaearth.com/Default.aspx,1,3588,1,2605178,3,0,55,-1,0
http://www.cndoubleegret.com/admin/secure/cmd-login=8e624428269b1e296f49085bd6b42d28/?reff=OWQzZTM3MjQ1MzMzMjAwNTg2MDA4NjJhYjQzNDZhMWY=,2,4284,1,109671,1,1,23,1,1
http://www.yourdictionary.com/legislative-session,2,7586,1,988,5,0,187,-1,0
https://bbvaconsultas.com/,1,6,1,135850,0,1,0,1,1
https://ocurenc.com/,2,95,1,130172,0,0,44,1,1
https://www.helloprint.nl/,2,2600,1,5899,3,0,155,-1,0
https://www.portablefreeware.com/?id=1300,2,-1,1,105102,4,0,169,-1,0
http://www.weightgaintruth.com/,2,3727,1,10481070,2,0,25,-1,0
http://www.goodhopeservices.com/update/,2,90,0,123299,0,1,21,1,1
http://www.landscape-design-advisor.com/planning/virtual-design/virtual-sample-plans,2,4763,1,6179184,3,0,16,-1,0
http://bowmanconsultinggroup-my.sharepoint.com/:b:/g/personal/rbennett_bowmanconsulting_com/EVTdtEH1IU1LoyyBZJv-0lQBQthXG9De7FHgSMB0Uto5vw?e=4:PwCnqu&amp;at=9,1,8019,0,136509,4,1,26,1,1
https://www.1and1.com/whois-domain-lookup,2,8336,1,66410,5,0,336,-1,0
https://billingservice-ee.com/account/index?ac=ee,2,1,0,137336,0,1,237,1,1
https://www.boilersupplies.com/,2,6660,1,1791361,2,0,995,-1,0
http://bibliateologiaefilosofia.blogspot.com/,2,7298,1,7862,5,0,55,-1,0
http://apple.com.aieuv.cn/mim/4u220j18s43i590rr8485m4e85v375gbm903392982898s7926.html,4,-1,0,103513,0,1,0,1,1
http://outlook-webapp-portal.el.r.appspot.com/wp-content/xp.php,5,5615,0,116920,5,1,21,1,1
https://seconfin.com/ab/CNC/en.php?.rand=13InboxLight.aspx?n=1774256418&email=JTAl&fid=1&fid=4&rand=13InboxLightaspxn.1774256418#n=1252899642&fid=1&fav=1,5,-1,0,121376,0,1,0,1,1
https://www.microsoft.com/en-gb/store/p/itv-hub/9wzdncrfhzh7,2,10674,1,23,8,1,100,-1,0
http://updatequota.byethost5.com/form.php,3,5511,0,200509,1,1,0,1,1
https://solitariospider.es,2,-1,1,60725,1,0,13,-1,0
http://www.encyclo.co.uk/meaning-of-LATENCY,1,4705,1,28680,4,0,92,-1,0
https://www.officialliker.co/,2,1099,0,357413,2,0,27,1,1
https://glueturn.nn.r.appspot.com/off365.html?payment%20codeAAQkADUyYzNhODUwLTAwNzYtNGE2YS04YWQ1LWI2Yjg5MWY5NzM2ZAAQADKpx%20lv1KxDr2OE5uAPrZw=,5,5613,0,101283,5,1,19,1,1
http://www.abdnepal.com/etigrade/ebill/login.php,3,1807,0,106350,0,1,4,1,1
http://www.tucontaweb.com/Nachprufung,2,2021,1,4511081,0,1,104,1,1
http://assembly.ca.gov/committees,2,-1,1,317,5,0,49,-1,0
http://mundovirtualhabbo.blogspot.com/2009_01_01_archive.html,3,7298,1,104534,5,1,74,1,1
https://www.hyperride.co.nz/,1,-1,1,616337,2,0,645,-1,0
https://tools.ietf.org/html/1459,2,9265,1,8473,7,1,484,-1,0
https://www.iptvultra.com/,2,1499,1,1216719,2,0,104,-1,0
https://www.edrawsoft.com/Local-Area-Network.php,1,5526,1,10856,5,1,35,-1,0
http://secureupdate.appleld.com.duilawyeryork.com/ap/0fbb11329a3b4b3/?cmd=_update&dispatch=0fbb11329a3b4b36b&locale=_US,4,4003,1,5816617,0,1,4,1,1
http://yovcxm.com/chase/Chase/c3de889c703936d808fc0dc86f8c3b34,2,-1,1,110412,0,1,48,1,1
http://78.143.96.35/wordpress/gam/index.php?bidderblocklogin=,4,-1,1,134290,0,1,25,1,1
https://www.groove.pl/,2,6190,1,499717,3,0,56,-1,0
http://www.sysprobs.com/best-free-music-downloads-for-android-cell-smart-phones,2,-1,1,311774,4,0,68,-1,0
https://www.slanguide.com/what-does-sms-mean/,2,2299,1,8203,2,1,58,-1,0
https://www.youtube.com/watch?v=HlsHu9aD9_s,2,5636,1,2,10,0,53,-1,0
https://www.marsbahis234.com/tr/,2,112,1,2851324,0,0,14,1,1
